EventTime,EventType,Event
,AGENT_TYPE,ExchangeAgent
2020-01-13 00:00:00.000290115,WHEN_MKT_CLOSE,3281
2020-01-13 00:00:00.000292239,WHEN_MKT_OPEN,1074
2020-01-13 00:00:00.000292239,WHEN_MKT_CLOSE,1074
2020-01-13 00:00:00.000293016,WHEN_MKT_OPEN,1687
2020-01-13 00:00:00.000293016,WHEN_MKT_CLOSE,1687
2020-01-13 00:00:00.000296058,WHEN_MKT_OPEN,3631
2020-01-13 00:00:00.000296058,WHEN_MKT_CLOSE,3631
2020-01-13 00:00:00.000305937,WHEN_MKT_OPEN,2262
2020-01-13 00:00:00.000305937,WHEN_MKT_CLOSE,2262
2020-01-13 00:00:00.000308138,WHEN_MKT_OPEN,2482
2020-01-13 00:00:00.000308138,WHEN_MKT_CLOSE,2482
2020-01-13 00:00:00.000313967,WHEN_MKT_OPEN,4291
2020-01-13 00:00:00.000313967,WHEN_MKT_CLOSE,4291
2020-01-13 00:00:00.000317411,WHEN_MKT_OPEN,4043
2020-01-13 00:00:00.000317411,WHEN_MKT_CLOSE,4043
2020-01-13 00:00:00.000329443,WHEN_MKT_OPEN,1149
2020-01-13 00:00:00.000329443,WHEN_MKT_CLOSE,1149
2020-01-13 00:00:00.000338310,WHEN_MKT_OPEN,1836
2020-01-13 00:00:00.000338310,WHEN_MKT_CLOSE,1836
2020-01-13 00:00:00.000339530,WHEN_MKT_OPEN,3499
2020-01-13 00:00:00.000339530,WHEN_MKT_CLOSE,3499
2020-01-13 00:00:00.000341485,WHEN_MKT_OPEN,4464
2020-01-13 00:00:00.000341485,WHEN_MKT_CLOSE,4464
2020-01-13 00:00:00.000347682,WHEN_MKT_OPEN,4701
2020-01-13 00:00:00.000347682,WHEN_MKT_CLOSE,4701
2020-01-13 00:00:00.000347784,WHEN_MKT_OPEN,4815
2020-01-13 00:00:00.000347784,WHEN_MKT_CLOSE,4815
2020-01-13 00:00:00.000348654,WHEN_MKT_OPEN,4408
2020-01-13 00:00:00.000348654,WHEN_MKT_CLOSE,4408
2020-01-13 00:00:00.000350898,WHEN_MKT_OPEN,1877
2020-01-13 00:00:00.000350898,WHEN_MKT_CLOSE,1877
2020-01-13 00:00:00.000353853,WHEN_MKT_OPEN,477
