AgentID,AgentStrategy,EventType,Event
346,NoiseAgent,STARTING_CASH,10000000.0
347,NoiseAgent,STARTING_CASH,10000000.0
348,NoiseAgent,STARTING_CASH,10000000.0
349,NoiseAgent,STARTING_CASH,10000000.0
350,NoiseAgent,STARTING_CASH,10000000.0
351,NoiseAgent,STARTING_CASH,10000000.0
352,NoiseAgent,STARTING_CASH,10000000.0
353,NoiseAgent,STARTING_CASH,10000000.0
354,NoiseAgent,STARTING_CASH,10000000.0
355,NoiseAgent,STARTING_CASH,10000000.0
356,NoiseAgent,STARTING_CASH,10000000.0
357,NoiseAgent,STARTING_CASH,10000000.0
358,NoiseAgent,STARTING_CASH,10000000.0
359,NoiseAgent,STARTING_CASH,10000000.0
360,NoiseAgent,STARTING_CASH,10000000.0
361,NoiseAgent,STARTING_CASH,10000000.0
362,NoiseAgent,STARTING_CASH,10000000.0
363,NoiseAgent,STARTING_CASH,10000000.0
364,NoiseAgent,STARTING_CASH,10000000.0
365,NoiseAgent,STARTING_CASH,10000000.0
366,NoiseAgent,STARTING_CASH,10000000.0
367,NoiseAgent,STARTING_CASH,10000000.0
368,NoiseAgent,STARTING_CASH,10000000.0
369,NoiseAgent,STARTING_CASH,10000000.0
370,NoiseAgent,STARTING_CASH,10000000.0
371,NoiseAgent,STARTING_CASH,10000000.0
372,NoiseAgent,STARTING_CASH,10000000.0
373,NoiseAgent,STARTING_CASH,10000000.0
374,NoiseAgent,STARTING_CASH,10000000.0
375,NoiseAgent,STARTING_CASH,10000000.0
376,NoiseAgent,STARTING_CASH,10000000.0
377,NoiseAgent,STARTING_CASH,10000000.0
378,NoiseAgent,STARTING_CASH,10000000.0
379,NoiseAgent,STARTING_CASH,10000000.0
380,NoiseAgent,STARTING_CASH,10000000.0
381,NoiseAgent,STARTING_CASH,10000000.0
382,NoiseAgent,STARTING_CASH,10000000.0
383,NoiseAgent,STARTING_CASH,10000000.0
384,NoiseAgent,STARTING_CASH,10000000.0
385,NoiseAgent,STARTING_CASH,10000000.0
386,NoiseAgent,STARTING_CASH,10000000.0
387,NoiseAgent,STARTING_CASH,10000000.0
388,NoiseAgent,STARTING_CASH,10000000.0
389,NoiseAgent,STARTING_CASH,10000000.0
390,NoiseAgent,STARTING_CASH,10000000.0
391,NoiseAgent,STARTING_CASH,10000000.0
392,NoiseAgent,STARTING_CASH,10000000.0
393,NoiseAgent,STARTING_CASH,10000000.0
394,NoiseAgent,STARTING_CASH,10000000.0
395,NoiseAgent,STARTING_CASH,10000000.0
396,NoiseAgent,STARTING_CASH,10000000.0
397,NoiseAgent,STARTING_CASH,10000000.0
398,NoiseAgent,STARTING_CASH,10000000.0
