time,price_dollars,side,qty
2020-01-13 09:30:00.012987629,1000.18,ASK,47
2020-01-13 09:30:00.012987629,1000.66,ASK,22
2020-01-13 09:30:00.012987629,1000.8,ASK,49
2020-01-13 09:30:00.013928847,997.24,BID,42
2020-01-13 09:30:00.013928847,997.25,BID,21
2020-01-13 09:30:00.013928847,997.31,BID,48
2020-01-13 09:30:00.013928847,997.37,BID,34
2020-01-13 09:30:00.013928847,997.44,BID,26
2020-01-13 09:30:00.013928847,997.72,BID,23
2020-01-13 09:30:00.013928847,997.75,BID,20
2020-01-13 09:30:00.013928847,997.78,BID,46
2020-01-13 09:30:00.013928847,997.86,BID,39
2020-01-13 09:30:00.013928847,997.89,BID,65
2020-01-13 09:30:00.013928847,997.91,BID,2177
2020-01-13 09:30:00.013928847,998.13,BID,28
2020-01-13 09:30:00.013928847,998.35,BID,39
2020-01-13 09:30:00.013928847,998.42,BID,33
2020-01-13 09:30:00.013928847,998.46,BID,29
2020-01-13 09:30:00.013928847,998.8,BID,24
2020-01-13 09:30:00.013928847,999.45,BID,116
2020-01-13 09:30:00.013928847,999.8,ASK,21
2020-01-13 09:30:00.013928847,999.84,ASK,31
2020-01-13 09:30:00.013928847,1000.18,ASK,47
2020-01-13 09:30:00.013928847,1000.66,ASK,22
2020-01-13 09:30:00.013928847,1000.8,ASK,49
2020-01-13 09:30:00.015135335,997.24,BID,42
2020-01-13 09:30:00.015135335,997.25,BID,21
2020-01-13 09:30:00.015135335,997.31,BID,48
2020-01-13 09:30:00.015135335,997.37,BID,34
2020-01-13 09:30:00.015135335,997.44,BID,26
2020-01-13 09:30:00.015135335,997.72,BID,23
2020-01-13 09:30:00.015135335,997.75,BID,20
2020-01-13 09:30:00.015135335,997.78,BID,46
2020-01-13 09:30:00.015135335,997.86,BID,39
2020-01-13 09:30:00.015135335,997.89,BID,65
2020-01-13 09:30:00.015135335,997.91,BID,2177
2020-01-13 09:30:00.015135335,998.13,BID,28
2020-01-13 09:30:00.015135335,998.19,BID,37
2020-01-13 09:30:00.015135335,998.22,BID,37
2020-01-13 09:30:00.015135335,998.35,BID,39
2020-01-13 09:30:00.015135335,998.42,BID,33
2020-01-13 09:30:00.015135335,998.46,BID,29
2020-01-13 09:30:00.015135335,998.8,BID,24
2020-01-13 09:30:00.015135335,998.96,BID,22
2020-01-13 09:30:00.015135335,999.45,BID,92
2020-01-13 09:30:00.015135335,999.8,ASK,21
2020-01-13 09:30:00.015135335,999.84,ASK,31
2020-01-13 09:30:00.015135335,1000.18,ASK,47
2020-01-13 09:30:00.015135335,1000.66,ASK,22
2020-01-13 09:30:00.015135335,1000.8,ASK,49
2020-01-13 09:30:00.016139119,997.24,BID,42
2020-01-13 09:30:00.016139119,997.25,BID,21
2020-01-13 09:30:00.016139119,997.31,BID,48
2020-01-13 09:30:00.016139119,997.37,BID,34
2020-01-13 09:30:00.016139119,997.44,BID,26
2020-01-13 09:30:00.016139119,997.72,BID,23
2020-01-13 09:30:00.016139119,997.75,BID,20
2020-01-13 09:30:00.016139119,997.78,BID,46
2020-01-13 09:30:00.016139119,997.86,BID,39
2020-01-13 09:30:00.016139119,997.89,BID,65
2020-01-13 09:30:00.016139119,997.91,BID,2177
2020-01-13 09:30:00.016139119,998.03,BID,34
2020-01-13 09:30:00.016139119,998.13,BID,28
2020-01-13 09:30:00.016139119,998.14,BID,41
2020-01-13 09:30:00.016139119,998.19,BID,37
2020-01-13 09:30:00.016139119,998.22,BID,37
2020-01-13 09:30:00.016139119,998.35,BID,39
2020-01-13 09:30:00.016139119,998.42,BID,33
