EventTime,agent_id,time_placed,symbol,quantity,is_buy_order,order_id,fill_price,tag,limit_price
2020-01-13 09:30:00.002412117,1972,2020-01-13T09:30:00.001594061,ABM,21,1,166,99859,,99859
2020-01-13 09:30:00.002412117,2603,2020-01-13T09:30:00.001608084,ABM,26,0,168,99859,,99791
2020-01-13 09:30:00.002412117,4809,2020-01-13T09:30:00.001602495,ABM,26,1,167,99859,,99859
2020-01-13 09:30:00.002413818,4381,2020-01-13T09:30:00.001609205,ABM,22,0,169,99859,,99791
2020-01-13 09:30:00.002413818,4809,2020-01-13T09:30:00.001602495,ABM,22,1,167,99859,,99859
2020-01-13 09:30:00.002413818,4381,2020-01-13T09:30:00.001609205,ABM,17,0,169,99791,,99791
2020-01-13 09:30:00.002413818,1319,2020-01-13T09:30:00.000530161,ABM,17,1,59,99791,,99791
2020-01-13 09:30:00.002413818,4381,2020-01-13T09:30:00.001609205,ABM,2,0,169,99791,,99791
2020-01-13 09:30:00.002413818,3088,2020-01-13T09:30:00.000552886,ABM,2,1,60,99791,,99791
2020-01-13 09:30:00.002421640,2395,2020-01-13T09:30:00.001614431,ABM,18,0,170,99791,,99791
2020-01-13 09:30:00.002421640,3088,2020-01-13T09:30:00.000552886,ABM,18,1,60,99791,,99791
2020-01-13 09:30:00.002421640,2395,2020-01-13T09:30:00.001614431,ABM,6,0,170,99791,,99791
2020-01-13 09:30:00.002421640,4682,2020-01-13T09:30:00.000564672,ABM,6,1,61,99791,,99791
2020-01-13 09:30:00.002434372,3231,2020-01-13T09:30:00.001622903,ABM,19,0,171,99791,,99791
2020-01-13 09:30:00.002434372,4682,2020-01-13T09:30:00.000564672,ABM,19,1,61,99791,,99791
2020-01-13 09:30:00.002434372,3231,2020-01-13T09:30:00.001622903,ABM,29,0,171,99791,,99791
2020-01-13 09:30:00.002434372,888,2020-01-13T09:30:00.000571176,ABM,29,1,62,99791,,99791
2020-01-13 09:30:00.002439542,1932,2020-01-13T09:30:00.001626356,ABM,39,0,173,99859,,99791
2020-01-13 09:30:00.002439542,4541,2020-01-13T09:30:00.001626140,ABM,39,1,172,99859,,99859
