ticker,date,strategy,arrival_mid,market_vwap,executed_avg,fills,oversize_count,null_nbbo_count,vwap_slip_bps,is_bps,effective_spread_bps,realized_spread_bps,markout_1s_bps,markout_10s_bps,markout_60s_bps,reversion_5m_bps,pov,price_var,schedule_rmse,hit_ratio_nbbo,error
MSFT,20200114,vwap_following,162.845,163.26138420749726,163.25149700000003,12,11,0,0.6056060069087126,-24.96220332217938,0.6125335559054303,2.8591125825376364,0.3717076575058135,0.6977737183379465,1.4028557644619628,-5.212805102415034,0.0034545106582017336,0.14995959051650154,0.0,1.0,""
MSFT,20200115,twap,163.235,163.50855723664498,163.4999279999999,60,10,0,0.5277544362763051,-16.229852666394088,0.6624562932889463,4.732137329830772,0.31623384400231874,0.15785569304260214,0.8725424719032508,9.463337200073335,0.0038759885224227872,0.23362598677141005,0.0,1.0,""
MSFT,20200115,vwap_following,163.235,163.50855723664498,163.49021199999999,12,9,0,1.121974100623916,-15.63463717952472,0.7650395707618931,4.868974834561333,0.4313973951696475,0.5809021575533613,2.5575423382875195,18.010867574332224,0.0038759885224227872,0.24411094099845576,0.0,1.0,""
MSFT,20200116,twap,164.685,164.89972770295674,164.89874399999997,60,12,0,0.05965461377507024,-12.978959832405067,0.6367339660681814,1.8761919481776772,0.3592792978539782,0.4809269510632327,0.47179433824254025,-8.794808030568436,0.0032331728709637476,0.118717725319705,0.0,1.0,""
MSFT,20200116,vwap_following,164.685,164.89972770295674,164.891695,12,8,0,0.4871265143147921,-12.55093056441062,0.6064405519221937,1.1570114631833723,0.45072040973144917,0.6101110728912845,0.7269784777510193,-0.9096422073975959,0.0032331728709637476,0.11784684462419492,0.0,1.0,""
MSFT,20200117,twap,166.565,166.18077176351832,166.15301499999998,60,3,0,1.6702752805745285,24.734187854592236,0.6420619789438564,-2.4321411475657007,0.3258994939776309,0.20581001506385288,-0.09920576256669639,-4.517255917606279,0.002864472633401355,0.16168917660285095,0.0,1.0,""
MSFT,20200117,vwap_following,166.565,166.18077176351832,166.119055,12,9,0,3.713833006272512,26.773031549244724,0.6544126343101971,-3.108441871312357,0.6102968992162932,1.0698762065322502,2.8494010639616385,-2.710027100270249,0.002864472633401355,0.15299039383588792,0.0,1.0,""
NVDA,20200113,twap,249.54500000000002,249.87804565471566,249.8489850000001,60,26,0,1.1629935170737997,-12.181570458237863,2.4808750091395657,4.318494049985963,1.2180074776635292,1.6068330529378723,1.5317122214583003,-2.19929622520707,0.0066697125020426,0.3448036778678342,0.0,1.0,""
NVDA,20200113,vwap_following,249.54500000000002,249.87804565471566,249.87489600000004,12,12,0,0.12604767687275065,-13.219900218398257,2.1413675809476826,-0.8298908298612132,1.10957582408917,1.0646642839002949,-1.3288831016138922,-4.595771889862827,0.0066697125020426,0.32606352792427185,0.0,1.0,""
NVDA,20200114,twap,247.62,248.5068178300989,248.49187899999995,60,20,0,0.6011436720080242,-35.21036265244933,2.2543113196807254,1.5892483834299325,1.0706297176085466,0.8234860515598215,1.371524598202071,0.6052291801168004,0.007189816918501987,0.5196840359056076,0.0,1.0,""
