Exchange,nbbo_share_bid_pct,nbbo_share_ask_pct,volume_share_pct,n_trades,avg_depth_at_best,adverse_selection_bps,routable,ticker,date
IEX,0.46092471033266047,0.47699526536724746,3.4120255162575552,5409,121.11079828784936,0.22598715630437394,true,MSFT,20200113
NASDAQ BX,0.18313368759194212,0.14728398789940186,1.8006705692565974,4648,122.87435796128013,0.028089076093426493,true,MSFT,20200113
NASDAQ PSX,2.1587523598108973,0.3745675519599896,1.599609204671652,2939,198.69448558777228,0.19924383774753815,true,MSFT,20200113
BATS Y,0.09501053416052542,0.09359773811352876,1.189937020295034,3375,137.81601105289226,0.11174516673710622,true,MSFT,20200113
EDGA,0.12679844521795028,0.10242771340725788,0.9868804885199046,3316,151.5662811205447,0.11773632910172659,true,MSFT,20200113
NSE,0.21403860111999404,0.15417136862851058,0.912724629277019,1833,107.75141289324958,0.14272509729285984,true,MSFT,20200113
AMEX,0.6454711939715992,0.07187599889095511,0.3625926747114811,622,198.23784528245096,0.400167944762777,true,MSFT,20200113
CSE,0.0,0.0,0.0030378029476342628,109,248.38709677419354,-0.5601683671386917,true,MSFT,20200113
FINRA,0.0,0.0,32.97812742500042,50195,0.0,-0.3292501094478769,false,MSFT,20200114
NASDAQ,53.87599524255937,58.10588751100544,29.106291688876702,47963,492.9093562318645,0.6461122820188571,true,MSFT,20200114
BATS,21.205780694343947,19.222602833314916,10.432967415783656,17284,427.8816658945161,0.347292912709792,true,MSFT,20200114
ARCA,10.991779038032197,9.196094716317997,7.714320801560022,15075,274.8607744756554,0.1666890865362348,true,MSFT,20200114
EDGX,3.729671862542759,2.644039119374451,5.580952967055598,12700,257.6352471138362,0.4463515711524426,true,MSFT,20200114
IEX,0.49938868551345067,0.6089381425782618,3.228004771458928,5529,112.27176453403447,-0.19903874220891288,true,MSFT,20200114
NYSE,6.259290019711774,7.282662550838909,2.8502523036243743,4115,299.4485305696523,0.14233633115618471,true,MSFT,20200114
BATS Y,0.19212741005835113,0.5245779316064442,1.9130803614513274,5275,139.658134238945,0.341089301349038,true,MSFT,20200114
NASDAQ PSX,1.9846036674116507,1.280492948793352,1.619512887143108,3652,174.59824528424937,0.255012499977879,true,MSFT,20200114
NASDAQ BX,0.12273816610406724,0.821739745184636,1.6122539409200225,4000,142.51617783006975,0.17077822587568023,true,MSFT,20200114
EDGA,0.1260650476635192,0.09731128561397005,1.5310299787297408,5525,138.62901610083054,0.2529503963160948,true,MSFT,20200114
CSE,0.015446235811741277,0.0,0.492260410994464,200,3548.176583493282,-10.270986661173017,true,MSFT,20200114
AMEX,0.9135854396652207,0.11216343543295204,0.48381373764964053,1074,135.00571520159266,1.090920844986426,true,MSFT,20200114
NSE,0.08352849058195476,0.10348977993866657,0.45713130975199645,1172,109.22489162111611,-0.5376554717552801,true,MSFT,20200114
FINRA,0.0,0.0,30.73256599653235,41872,0.0,-0.5648462814771246,false,MSFT,20200115
NASDAQ,62.32915748814675,65.63257037204279,30.54811553435659,49835,608.9025839757628,0.17414704873278708,true,MSFT,20200115
BATS,17.557832303101677,16.936032072443695,11.370427261965716,20563,433.39205072376114,0.1681279333590266,true,MSFT,20200115
