size,size_pct_adv,window,ticker,strategy,parent_qty,is_bps,vwap_slip_bps,eff_spread_bps,markout_60s_bps
0_1pct_adv,0.001,open,WLTW,toth,615,-124.38405516270024,2.560652821939764,17.27838146045434,3.5985897006557073
0_1pct_adv,0.001,open,WLTW,rl_v4,615,-108.1202874699684,18.62049707308393,38.594726455262965,26.264936354239648
0_1pct_adv,0.001,open,XEL,twap,2597,-15.286098158775774,17.26926796086356,2.4676471513924048,0.8293712160402145
0_1pct_adv,0.001,open,XEL,ac_ra,2597,-31.32807619079227,1.2794354654794602,3.493209205347171,1.6687082920322687
0_1pct_adv,0.001,open,XEL,vwap_following,2597,-21.748455756402194,10.827916694511634,2.71574617727606,-1.4480939164614899
0_1pct_adv,0.001,open,XEL,pov_5pct_cap,2597,-21.748455756402194,10.827916694511634,2.71574617727606,-1.4480939164614899
0_1pct_adv,0.001,open,XEL,toth,2597,-21.771594936196415,10.804852730189292,2.716332534250998,-1.4590220602201938
0_1pct_adv,0.001,open,XEL,rl_v4,2597,-31.325109629281876,1.2823923839806455,7.751393423614247,4.609613515896974
0_1pct_adv,0.001,open,XLNX,twap,3337,-77.84547890352864,-21.603870563662767,5.502900020851776,4.153266435127343
0_1pct_adv,0.001,open,XLNX,ac_ra,3337,-49.835269525404094,6.250021749603033,7.777783872541213,6.437076706063713
0_1pct_adv,0.001,open,XLNX,vwap_following,3337,-55.7507448381839,0.3675590332538874,6.588211908489839,10.73368396529699
0_1pct_adv,0.001,open,XLNX,pov_5pct_cap,3337,-55.72751229780695,0.3906619193868452,6.589692108497609,10.73049635862725
0_1pct_adv,0.001,open,XLNX,toth,3337,-55.70427975742721,0.41376480552257666,6.591172308505376,10.72730875195751
0_1pct_adv,0.001,open,XLNX,rl_v4,3337,-39.60912868269472,16.419093389444804,8.757301509167736,8.129269965111765
0_1pct_adv,0.001,early_mid,AAL,twap,7239,-75.59355306908783,12.284782680708501,3.4532131607463943,2.9166371799705972
0_1pct_adv,0.001,early_mid,AAL,ac_ra,7239,-38.19266884684567,49.35946007020082,3.429322277713898,4.592911947182247
0_1pct_adv,0.001,early_mid,AAL,vwap_following,7239,-69.91441123553034,17.9143915978982,3.514069611527285,2.6551224218305016
0_1pct_adv,0.001,early_mid,AAL,pov_5pct_cap,7239,-69.91441123553034,17.9143915978982,3.514069611527285,2.6551224218305016
0_1pct_adv,0.001,early_mid,AAL,toth,7239,-69.90463309876262,17.924084450718997,3.514073045455729,2.6546353190634777
0_1pct_adv,0.001,early_mid,AAL,rl_v4,7239,-25.95337505712856,61.49200394356531,3.4851782108551577,4.702765171022415
0_1pct_adv,0.001,early_mid,AAPL,twap,34225,14.24865122076797,1.7833260806465927,0.7320386661447126,0.11146679131734923
0_1pct_adv,0.001,early_mid,AAPL,ac_ra,34225,6.6243463705370464,-5.850496274637885,0.8539518354375717,0.18049448903369547
0_1pct_adv,0.001,early_mid,AAPL,vwap_following,34225,13.312502420721165,0.8460086755780388,0.7834786182794684,-0.5859337961970604
0_1pct_adv,0.001,early_mid,AAPL,pov_5pct_cap,34225,13.312502420721165,0.8460086755780388,0.7834786182794684,-0.5859337961970604
0_1pct_adv,0.001,early_mid,AAPL,toth,34225,13.312502420721165,0.8460086755780388,0.7834786182794684,-0.5859337961970604
0_1pct_adv,0.001,early_mid,AAPL,rl_v4,34225,5.092314820589198,-7.384440276711566,0.8336251368172257,0.10124330020715398
0_1pct_adv,0.001,early_mid,ADBE,twap,2665,19.12722857196674,2.6222349452062854,4.406119555279663,1.83095136714007
0_1pct_adv,0.001,early_mid,ADBE,ac_ra,2665,18.27743796524965,1.7710390717485862,5.0100859009485115,1.9470943199780864
0_1pct_adv,0.001,early_mid,ADBE,vwap_following,2665,21.373073005249935,4.871793246896276,4.502290634115091,4.8987120726678075
0_1pct_adv,0.001,early_mid,ADBE,pov_5pct_cap,2665,21.373073005249935,4.871793246896276,4.502290634115091,4.8987120726678075
0_1pct_adv,0.001,early_mid,ADBE,toth,2665,21.373073005249935,4.871793246896276,4.502290634115091,4.8987120726678075
0_1pct_adv,0.001,early_mid,ADBE,rl_v4,2665,17.257000624890992,0.7489142725689554,5.371469259534969,1.6035020322377191
0_1pct_adv,0.001,early_mid,ADI,twap,1679,15.395723190134794,4.944379479760914,5.39766927020229,2.4855488724862504
0_1pct_adv,0.001,early_mid,ADI,ac_ra,1679,7.682433023943591,-2.7769845413803496,5.208655011785481,2.440849717383761
0_1pct_adv,0.001,early_mid,ADI,vwap_following,1679,12.570303892583159,2.116002686109687,5.036990841116812,0.7507780943911091
0_1pct_adv,0.001,early_mid,ADI,pov_5pct_cap,1679,12.570303892583159,2.116002686109687,5.036990841116812,0.7507780943911091
0_1pct_adv,0.001,early_mid,ADI,toth,1679,12.557363800679612,2.1030490492178378,5.036985417782279,0.7450420824857874
0_1pct_adv,0.001,early_mid,ADI,rl_v4,1679,4.8659722515734884,-5.596393432550432,5.195493764943125,2.0821378523475347
0_1pct_adv,0.001,early_mid,ADP,twap,2284,-0.705318871642194,3.573200667889689,2.995860261126926,1.3504723988291678
0_1pct_adv,0.001,early_mid,ADP,ac_ra,2284,-3.2194032000802073,1.0601919194813114,3.3877822271235987,1.5926828655086764
0_1pct_adv,0.001,early_mid,ADP,vwap_following,2284,-1.2412216950010246,3.0375271154300525,3.3363204181454282,6.14736583615908
0_1pct_adv,0.001,early_mid,ADP,pov_5pct_cap,2284,-1.2412216950010246,3.0375271154300525,3.3363204181454282,6.14736583615908
0_1pct_adv,0.001,early_mid,ADP,toth,2284,-1.2412216950010246,3.0375271154300525,3.3363204181454282,6.14736583615908
0_1pct_adv,0.001,early_mid,ADP,rl_v4,2284,-4.107591747379828,0.17238335858597384,3.51596363780753,2.0424083312953383
0_1pct_adv,0.001,early_mid,ADSK,twap,1715,-13.457667200913347,3.59696545839503,5.119443090158,3.244817978871045
0_1pct_adv,0.001,early_mid,ADSK,ac_ra,1715,-2.024486888871499,15.010673107064246,5.749888960175602,4.172841186445924
0_1pct_adv,0.001,early_mid,ADSK,vwap_following,1715,-11.562332007218693,5.489072571783259,4.910132687629372,5.283934439402884
0_1pct_adv,0.001,early_mid,ADSK,pov_5pct_cap,1715,-11.562332007218693,5.489072571783259,4.910132687629372,5.283934439402884
0_1pct_adv,0.001,early_mid,ADSK,toth,1715,-11.562332007218693,5.489072571783259,4.910132687629372,5.283934439402884
0_1pct_adv,0.001,early_mid,ADSK,rl_v4,1715,-0.8413786284864476,16.191766331539856,5.996034315188649,2.388942717321329
0_1pct_adv,0.001,early_mid,ALGN,twap,1091,46.7712264872673,5.373637379154468,14.461381979193366,6.566725258267838
0_1pct_adv,0.001,early_mid,ALGN,ac_ra,1091,32.5211408686348,-8.935717367378063,17.33027984048113,6.817425909466165
0_1pct_adv,0.001,early_mid,ALGN,vwap_following,1091,46.64456908613924,5.246453183036692,14.815700910886802,8.290030781388273
0_1pct_adv,0.001,early_mid,ALGN,pov_5pct_cap,1091,46.64456908613924,5.246453183036692,14.815700910886802,8.290030781388273
0_1pct_adv,0.001,early_mid,ALGN,toth,1091,46.62523207833416,5.227035748515615,14.830196986211376,8.299390623264616
0_1pct_adv,0.001,early_mid,ALGN,rl_v4,1091,29.05208166836746,-12.419205120493153,18.03631048272329,6.002258192873136
0_1pct_adv,0.001,early_mid,ALXN,twap,2256,-19.09519832774926,2.2704595744138505,7.471735484499628,4.194910360140426
0_1pct_adv,0.001,early_mid,ALXN,ac_ra,2256,-16.583863469036476,4.776439027233496,8.498554235973392,5.267079875793972
0_1pct_adv,0.001,early_mid,ALXN,vwap_following,2256,-20.20522408034697,1.1628009447971182,7.238326973041407,2.96151080285268
0_1pct_adv,0.001,early_mid,ALXN,pov_5pct_cap,2256,-20.20522408034697,1.1628009447971182,7.238326973041407,2.96151080285268
0_1pct_adv,0.001,early_mid,ALXN,toth,2256,-20.20522408034697,1.1628009447971182,7.238326973041407,2.96151080285268
0_1pct_adv,0.001,early_mid,ALXN,rl_v4,2256,-17.28451802209843,4.077278615627631,8.718401411859073,4.606879935757146
0_1pct_adv,0.001,early_mid,AMAT,twap,6672,-2.1895568474096416,5.751501556890008,2.1175014295817696,1.0910692709079424
0_1pct_adv,0.001,early_mid,AMAT,ac_ra,6672,-17.965606858281713,-10.012023342973775,2.137463845399526,2.613495444986371
0_1pct_adv,0.001,early_mid,AMAT,vwap_following,6672,-0.8461491710735105,7.093842658876799,1.9894150965616022,6.756175243170585
0_1pct_adv,0.001,early_mid,AMAT,pov_5pct_cap,6672,-0.8461491710735105,7.093842658876799,1.9894150965616022,6.756175243170585
0_1pct_adv,0.001,early_mid,AMAT,toth,6672,-0.8461491710735105,7.093842658876799,1.9894150965616022,6.756175243170585
0_1pct_adv,0.001,early_mid,AMAT,rl_v4,6672,-19.996555389362037,-12.04135943901577,2.0874421376822023,3.423231700545843
0_1pct_adv,0.001,early_mid,AMD,twap,44647,-22.358850138582973,3.7998674102701138,1.9558286209023823,1.212994840164758
0_1pct_adv,0.001,early_mid,AMD,ac_ra,44647,-17.881721756443582,8.265310326090692,1.9788188920574943,2.156718216439176
