ticker,strategy,is_bps,fold,test_date
TCOM,ac_ra,-29.895203336808613,4,20200117
TCOM,vwap_following,-27.062565172053645,4,20200117
TCOM,rl_v3,-30.326120959338823,4,20200117
TSLA,twap,-54.79035345157453,4,20200117
TSLA,ac_ra,-52.52013623737871,4,20200117
TSLA,vwap_following,-51.50897615845845,4,20200117
TSLA,rl_v3,-50.41083224546263,4,20200117
TXN,twap,-11.58667479798548,4,20200117
TXN,ac_ra,-7.915840829391875,4,20200117
TXN,vwap_following,-11.093764293336221,4,20200117
TXN,rl_v3,-8.199725567926,4,20200117
UAL,twap,-26.677802690582972,4,20200117
UAL,ac_ra,-13.264910313903355,4,20200117
UAL,vwap_following,-25.523878923766347,4,20200117
UAL,rl_v3,-12.743273542599196,4,20200117
