window,ticker,strategy,is_bps,vwap_slip_bps,eff_spread_bps,markout_60s_bps
open,AMAT,twap,101.48460571787733,64.93944837441431,2.988122114627341,-0.0690049592945921
open,AMAT,ac_ra,90.69572730128434,54.11073759472558,4.226469381612715,-3.9498865842398847
open,AMAT,vwap_following,93.81432610744615,57.240850216800446,3.414284705906586,5.0165321204785345
open,AMAT,pov_5pct_cap,93.81432610744615,57.240850216800446,3.414284705906586,5.0165321204785345
open,AMAT,toth,93.80819981149877,57.23470130266838,3.4145991371497866,5.017166552828537
open,AMAT,rl_v4,92.70640904806277,56.12884274570925,5.887234332944637,-4.687780947897943
open,AMD,twap,-0.7405636888740398,-1.466093318774035,1.9915027899612443,2.027897988713338
open,AMD,ac_ra,22.333034558310302,21.60917886236451,1.996104372632536,0.7981242437509698
open,AMD,vwap_following,10.048401553627869,9.323654637158901,1.9936554365973345,5.785078819632306
open,AMD,pov_5pct_cap,10.048401553627869,9.323654637158901,1.9936554365973345,5.785078819632306
open,AMD,toth,10.057563987649315,9.332817735892855,1.9936572616399242,5.786273151142972
open,AMD,rl_v4,29.29170401354846,28.56835315230389,2.0030765573587064,0.5691019057226552
open,AMGN,twap,45.015570647672,40.9406086213846,8.35369964929882,4.246887533772876
open,AMGN,ac_ra,57.09317541825124,53.02315722499118,15.250787773481008,4.9465773281613235
open,AMGN,vwap_following,54.24233891005577,50.17115375861547,10.943664978062264,4.714648497575099
open,AMGN,pov_5pct_cap,54.24233891005577,50.17115375861547,10.943664978062264,4.714648497575099
open,AMGN,toth,54.23554745734696,50.16435952590111,10.941368608400893,4.715475716988147
open,AMGN,rl_v4,58.9673264866718,54.89807545628272,16.68009086741442,4.130143059901012
open,AMZN,twap,57.23229300950897,29.1395603034805,3.826702295486151,1.0712425989924765
open,AMZN,ac_ra,45.78286356956947,17.657781142580856,4.712068582305988,0.34779542294793925
open,AMZN,vwap_following,51.564225804911175,23.455478292781322,3.8943432039296746,1.1037896630037884
open,AMZN,pov_5pct_cap,51.564225804911175,23.455478292781322,3.8943432039296746,1.1037896630037884
open,AMZN,toth,51.55890482177435,23.450142275504966,3.894532820742415,1.1031555918419471
open,AMZN,rl_v4,53.74149464983787,25.638898888758842,5.038013977598049,-0.6533366741874784
open,ANSS,twap,0.47119598664891527,31.004880372366795,16.490971897143993,7.722977424707631
open,ANSS,ac_ra,12.712855038140882,43.209159367141915,20.425545452447388,5.76938660357936
open,ANSS,vwap_following,6.234833367527025,36.750918415501026,18.928875940165643,12.988331063155877
open,ANSS,pov_5pct_cap,6.2370712966930375,36.753149511122764,18.930219984723944,12.988725193416697
open,ANSS,toth,6.199175696091186,36.71536962520418,23.895736237357262,13.502635450252425
open,ANSS,rl_v4,20.182055537942013,50.655552571204964,22.82397369914092,9.695320380924775
open,ASML,twap,18.585969052800454,7.7715315900295225,5.012704833947833,2.13324468699697
open,ASML,ac_ra,13.473299316901533,2.6533224939803004,5.539600723921983,1.7965772328633562
open,ASML,vwap_following,15.782904249836175,4.965429785602146,4.985990902830055,3.179926942375387
open,ASML,pov_5pct_cap,15.77941396446505,4.961935718655307,4.985589780284474,3.179508580457448
open,ASML,toth,15.780377948043544,4.962900746668999,4.986156427607308,3.1801924474291416
